Engine Speed (High Res)(rpm),Throttle Position(%),Manifold Absolute Pressure(kpa),Spark Advance(deg),MAF Airflow(g/s),Left Block Learn Trim,Right Block Learn Trim,Left Integrator Counts,Right Integrator Counts,Left+Right Block Learn Trim,Left+Right Integrator,Left Oxygen Sensor Volts(mv),Right Oxygen Sensor Volts(mv),Closed Loop Enable,Power Enrichment Active,Block Learn Mode Enable,Idle Air Controller Position,Idle Target RPM(rpm),Intake Air Temperature(c),Coolant Temperature(c),Knock Retard(deg),Knock Counts,Vehicle Speed(mph),ECM Input Voltage(v),Fan 1 Enabled,Fan 2 Enabled,Charcoal Canister Purge Enable,Air Pump Enabled,Air Conditioning Enabled,Block Learn Mode Cell,Left Injector Pulsewidth,Right Injector Pulsewidth,Barometric Pressure(kpa),Transmission Selected Gear,Shift Position PARK/NEUTRAL,TCC Enable,EGR Duty Cycle(%)
120,0.0,97.4,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,2299,0,9.2,OFF,OFF,OFF,OFF,ON,0,25.47,25.36,102,3,ON,OFF,0.0
144,0.0,97.1,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,2930,0,9.4,OFF,OFF,OFF,OFF,ON,0,25.47,25.47,102,3,ON,OFF,0.0
144,0.0,96.7,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,2930,0,9.2,OFF,OFF,OFF,OFF,ON,0,46.42,46.42,102,3,ON,OFF,0.0
141,0.0,96.3,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,3431,0,8.9,OFF,OFF,OFF,OFF,ON,0,46.42,46.42,102,3,ON,OFF,0.0
136,0.0,96.3,7,0.00,128,128,128,128,128,128,457,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,3898,0,9.1,OFF,OFF,OFF,OFF,ON,0,46.65,46.65,102,3,ON,OFF,0.0
141,0.0,96.3,7,0.00,128,128,128,128,128,128,457,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,4258,0,9.1,OFF,OFF,OFF,OFF,ON,0,46.42,46.42,102,3,ON,OFF,0.0
146,0.0,96.3,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,4918,0,9.3,OFF,OFF,OFF,OFF,ON,0,46.42,46.42,102,3,ON,OFF,0.0
148,0.0,96.7,7,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,5554,0,9.3,OFF,OFF,OFF,OFF,ON,0,46.23,46.23,102,3,ON,OFF,0.0
143,0.0,96.3,7,0.00,128,128,128,128,128,128,453,453,OFF,OFF,OFF,128,3188,92.3,89.6,0,6082,0,9.1,OFF,OFF,OFF,OFF,ON,0,39.15,39.15,102,3,ON,OFF,0.0
575,0.0,81.6,7,0.00,128,128,128,128,128,128,453,457,OFF,OFF,OFF,128,3188,92.3,89.6,0,6082,0,9.4,OFF,OFF,OFF,OFF,ON,0,38.31,49.50,102,3,ON,OFF,0.0
1454,0.0,50.2,20,7.46,128,128,128,128,128,128,448,453,OFF,OFF,OFF,109,900,92.3,89.6,6,6448,1,9.6,OFF,OFF,OFF,OFF,ON,16,5.51,17.21,102,3,ON,OFF,0.0
1218,0.0,39.9,24,8.99,128,128,128,128,128,128,453,457,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.2,OFF,OFF,OFF,OFF,ON,16,1.27,2.58,102,1,ON,OFF,0.0
1175,0.0,36.2,23,9.41,128,128,128,128,128,128,457,457,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.2,OFF,OFF,OFF,ON,ON,16,1.27,1.27,102,1,ON,OFF,0.0
1152,0.0,33.2,26,9.88,128,128,128,128,128,128,453,457,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.4,OFF,OFF,OFF,ON,ON,16,1.27,1.27,102,1,ON,OFF,0.0
1134,0.0,32.5,27,9.80,128,128,128,128,128,128,448,453,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.6,OFF,OFF,OFF,ON,ON,16,1.54,1.89,102,1,ON,OFF,0.0
1129,0.0,31.8,28,9.96,128,128,128,128,128,128,457,453,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.8,OFF,OFF,OFF,ON,OFF,16,2.75,1.63,102,1,ON,OFF,0.0
1110,0.0,31.0,29,9.63,128,128,128,128,128,128,453,453,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,10.8,OFF,OFF,OFF,ON,OFF,16,2.23,3.13,102,1,ON,OFF,0.0
1105,0.0,30.6,30,9.94,128,128,128,128,128,128,453,457,OFF,OFF,OFF,101,900,92.3,89.6,0,6448,0,11.0,OFF,OFF,OFF,ON,OFF,16,3.20,3.34,102,1,ON,OFF,0.0
1058,0.0,31.0,29,9.89,128,128,128,128,128,128,448,457,OFF,OFF,OFF,100,900,92.3,89.6,0,6448,0,11.3,OFF,OFF,OFF,ON,OFF,16,3.59,3.49,102,1,ON,OFF,0.0
1019,0.0,31.0,28,9.97,128,128,128,128,128,128,457,453,OFF,OFF,OFF,100,900,92.3,89.6,0,6448,0,11.5,OFF,OFF,OFF,ON,OFF,16,3.74,3.56,102,1,ON,OFF,0.0
973,0.0,31.4,27,10.02,128,128,128,128,128,128,453,453,OFF,OFF,OFF,99,900,92.3,89.6,0,6448,0,11.7,OFF,OFF,OFF,ON,OFF,16,4.03,3.83,102,1,ON,OFF,0.0
932,0.0,32.5,26,9.87,128,128,128,128,128,128,457,453,OFF,OFF,OFF,99,900,92.3,89.6,0,6448,0,12.2,OFF,OFF,OFF,ON,OFF,16,4.15,4.23,102,1,ON,OFF,0.0
896,0.0,33.6,24,9.71,128,128,128,128,128,128,453,462,OFF,OFF,OFF,98,900,92.3,89.6,0,6448,0,12.7,OFF,OFF,OFF,ON,OFF,16,4.50,4.59,102,1,ON,OFF,0.0
855,0.0,34.0,25,9.91,128,128,128,128,128,128,453,457,OFF,OFF,OFF,98,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,4.81,4.65,102,1,ON,OFF,0.0
842,0.0,34.3,26,10.09,128,128,128,128,128,128,453,457,OFF,OFF,OFF,98,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.07,5.07,102,1,ON,OFF,0.0
826,0.0,35.1,25,9.60,128,128,128,128,128,128,457,457,OFF,OFF,OFF,98,900,92.3,89.6,0,6448,0,12.8,OFF,OFF,OFF,ON,OFF,16,5.08,5.08,102,1,ON,OFF,0.0
813,0.0,35.4,25,10.07,128,128,128,128,128,128,457,457,OFF,OFF,OFF,99,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.20,5.14,102,1,ON,OFF,0.0
818,0.0,35.8,25,9.82,128,128,128,128,128,128,457,457,OFF,OFF,OFF,100,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.34,5.34,102,1,ON,OFF,0.0
816,0.0,36.2,25,10.05,128,128,128,128,128,128,453,457,OFF,OFF,OFF,100,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.34,5.34,102,1,ON,OFF,0.0
821,0.0,36.2,25,9.84,128,128,128,128,128,128,457,457,OFF,OFF,OFF,101,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.23,5.23,102,1,ON,OFF,0.0
831,0.0,36.2,24,9.93,128,128,128,128,128,128,457,457,OFF,OFF,OFF,101,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.26,5.26,102,1,ON,OFF,0.0
854,0.0,35.4,24,9.41,128,128,128,128,128,128,453,457,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.23,5.10,102,1,ON,OFF,0.0
846,0.0,35.4,24,9.60,128,128,128,128,128,128,453,457,OFF,OFF,OFF,102,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.96,5.00,102,1,ON,OFF,0.0
855,0.0,35.4,24,9.97,128,128,128,128,128,128,453,462,OFF,OFF,OFF,103,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.00,4.97,102,1,ON,OFF,0.0
849,0.0,35.8,24,9.82,128,128,128,128,128,128,453,457,OFF,OFF,OFF,103,900,92.3,89.6,0,6448,0,12.8,OFF,OFF,OFF,ON,OFF,16,5.07,5.05,102,1,ON,OFF,0.0
871,0.0,35.4,24,10.03,128,128,128,128,128,128,453,457,OFF,OFF,OFF,104,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.05,5.08,102,1,ON,OFF,0.0
854,0.0,35.4,24,9.62,128,128,128,128,128,128,453,457,OFF,OFF,OFF,104,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.00,5.00,102,1,ON,OFF,0.0
858,0.0,35.8,24,10.01,128,128,128,128,128,128,453,453,OFF,OFF,OFF,105,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.02,4.97,102,1,ON,OFF,0.0
875,0.0,35.1,23,9.98,128,128,128,128,128,128,453,457,OFF,OFF,OFF,105,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.02,5.02,102,1,ON,OFF,0.0
868,0.0,34.7,24,9.57,128,128,128,128,128,128,453,453,OFF,OFF,OFF,106,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.94,4.99,102,1,ON,OFF,0.0
852,0.0,35.4,24,9.75,128,128,128,128,128,128,453,453,OFF,OFF,OFF,107,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,4.94,4.94,102,1,ON,OFF,0.0
847,0.0,35.4,24,9.87,128,128,128,128,128,128,453,457,OFF,OFF,OFF,107,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.96,4.97,102,1,ON,OFF,0.0
872,0.0,35.1,23,9.96,128,128,128,128,128,128,453,457,OFF,OFF,OFF,108,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.05,5.04,102,1,ON,OFF,0.0
865,0.0,35.4,24,10.45,128,128,128,128,128,128,453,453,OFF,OFF,OFF,108,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.20,5.14,102,1,ON,OFF,0.0
860,0.0,35.4,24,9.97,128,128,128,128,128,128,453,457,OFF,OFF,OFF,109,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.19,5.19,102,1,ON,OFF,0.0
870,0.0,35.1,24,9.82,128,128,128,128,128,128,453,457,OFF,OFF,OFF,109,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.08,5.11,102,1,ON,OFF,0.0
882,0.0,35.4,23,10.01,128,128,128,128,128,128,453,457,OFF,OFF,OFF,110,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.14,5.13,102,1,ON,OFF,0.0
888,0.0,35.1,24,10.07,128,128,128,128,128,128,453,457,OFF,OFF,OFF,110,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.07,5.04,102,1,ON,OFF,0.0
867,0.0,35.4,24,10.17,128,128,128,128,128,128,448,453,OFF,OFF,OFF,111,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.04,5.00,102,1,ON,OFF,0.0
873,0.0,35.4,24,10.33,128,128,128,128,128,128,453,457,OFF,OFF,OFF,111,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.02,4.97,102,1,ON,OFF,0.0
885,0.0,34.7,23,10.33,128,128,128,128,128,128,453,457,OFF,OFF,OFF,111,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.99,5.00,102,1,ON,OFF,0.0
874,0.0,35.4,24,10.13,128,128,128,128,128,128,462,457,OFF,OFF,OFF,112,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.05,5.05,102,1,ON,OFF,0.0
870,0.0,34.7,24,9.98,128,128,128,128,128,128,453,457,OFF,OFF,OFF,112,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.00,5.05,102,1,ON,OFF,0.0
863,0.0,35.4,24,10.30,128,128,128,128,128,128,453,457,OFF,OFF,OFF,112,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.04,5.05,102,1,ON,OFF,0.0
881,0.0,34.7,23,10.52,128,128,128,128,128,128,453,457,OFF,OFF,OFF,113,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.10,5.16,102,1,ON,OFF,0.0
891,0.0,34.7,23,10.27,128,128,128,128,128,128,453,457,OFF,OFF,OFF,113,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.05,5.07,102,1,ON,OFF,0.0
869,0.0,35.1,24,10.09,128,128,128,128,128,128,448,457,OFF,OFF,OFF,114,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.07,5.04,102,1,ON,OFF,0.0
875,0.0,34.3,24,9.88,128,128,128,128,128,128,453,457,OFF,OFF,OFF,114,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.99,5.04,102,1,ON,OFF,0.0
888,0.0,34.7,22,10.20,128,128,128,128,128,128,453,457,OFF,OFF,OFF,114,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.02,4.99,102,1,ON,OFF,0.0
903,0.0,34.3,22,9.94,128,128,128,128,128,128,457,457,OFF,OFF,OFF,114,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.00,4.97,102,1,ON,OFF,0.0
877,0.0,35.1,24,10.38,128,128,128,128,128,128,457,457,OFF,OFF,OFF,114,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.99,4.96,102,1,ON,OFF,0.0
868,0.0,34.7,24,10.09,128,128,128,128,128,128,453,462,OFF,OFF,OFF,115,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.05,5.07,102,1,ON,OFF,0.0
880,0.0,35.4,24,10.20,128,128,128,128,128,128,448,453,OFF,OFF,OFF,115,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.00,5.00,102,1,ON,OFF,0.0
902,0.0,34.7,22,10.03,128,128,128,128,128,128,457,453,OFF,OFF,OFF,115,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.94,4.99,102,1,ON,OFF,0.0
880,0.0,35.1,24,10.32,128,128,128,128,128,128,453,457,OFF,OFF,OFF,115,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.08,5.11,102,1,ON,OFF,0.0
877,0.0,34.3,24,10.16,128,128,128,128,128,128,453,453,OFF,OFF,OFF,116,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.07,5.05,102,1,ON,OFF,0.0
867,0.0,35.4,25,9.96,128,128,128,128,128,128,448,453,OFF,OFF,OFF,116,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.99,5.00,102,1,ON,OFF,0.0
874,0.0,35.4,23,10.50,128,128,128,128,128,128,453,457,OFF,OFF,OFF,116,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.08,5.08,102,1,ON,OFF,0.0
885,0.0,34.3,23,10.59,128,128,128,128,128,128,453,457,OFF,OFF,OFF,117,900,92.3,89.6,0,6448,0,12.9,OFF,OFF,OFF,ON,OFF,16,5.13,5.14,102,1,ON,OFF,0.0
869,0.0,35.1,24,10.38,128,128,128,128,128,128,453,453,OFF,OFF,OFF,117,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.16,5.16,102,1,ON,OFF,0.0
874,0.0,34.7,24,10.34,128,128,128,128,128,128,453,453,OFF,OFF,OFF,117,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.14,5.13,102,1,ON,OFF,0.0
881,0.0,35.4,24,10.59,128,128,128,128,128,128,448,457,OFF,OFF,OFF,118,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.04,5.04,102,1,ON,OFF,0.0
904,0.0,34.3,22,10.56,128,128,128,128,128,128,457,457,OFF,OFF,OFF,118,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.13,5.17,102,1,ON,OFF,0.0
880,0.0,34.7,24,10.11,128,128,128,128,128,128,453,457,OFF,OFF,OFF,118,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,5.10,5.14,102,1,ON,OFF,0.0
860,0.0,35.1,24,9.78,128,128,128,128,128,128,453,457,OFF,OFF,OFF,119,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,5.02,4.97,102,1,ON,OFF,0.0
876,0.0,34.7,24,10.23,128,128,128,128,128,128,453,457,OFF,OFF,OFF,119,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.82,4.94,102,1,ON,OFF,0.0
888,0.0,35.1,23,9.98,128,128,128,128,128,128,453,457,OFF,OFF,OFF,119,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.90,4.91,102,1,ON,OFF,0.0
895,0.0,34.3,23,10.03,128,128,128,128,128,128,457,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.90,4.90,102,1,ON,OFF,0.0
888,0.0,34.3,24,10.16,128,128,128,128,128,128,448,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.87,4.93,102,1,ON,OFF,0.0
886,0.0,34.0,23,10.35,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.84,4.79,102,1,ON,OFF,0.0
888,0.0,35.1,24,10.36,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.91,4.93,102,1,ON,OFF,0.0
894,0.0,34.3,24,10.23,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.88,4.91,102,1,ON,OFF,0.0
885,0.0,34.3,24,10.16,128,128,128,128,128,128,448,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.81,4.82,102,1,ON,OFF,0.0
898,0.0,34.3,23,10.45,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.76,4.76,102,1,ON,OFF,0.0
899,0.0,34.7,22,10.29,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.71,4.71,102,1,ON,OFF,0.0
909,0.0,34.7,23,9.56,128,128,128,128,128,128,448,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.64,4.75,102,1,ON,OFF,0.0
900,0.0,34.0,24,10.18,128,128,128,128,128,128,453,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.67,4.67,102,1,ON,OFF,0.0
896,0.0,34.3,23,10.24,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.68,4.68,102,1,ON,OFF,0.0
912,0.0,34.0,22,10.37,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.71,4.71,102,1,ON,OFF,0.0
921,0.0,34.0,22,10.11,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.73,4.76,102,1,ON,OFF,0.0
904,0.0,34.3,23,10.27,128,128,128,128,128,128,448,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.70,4.68,102,1,ON,OFF,0.0
893,0.0,34.0,24,10.29,128,128,128,128,128,128,453,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.64,4.67,102,1,ON,OFF,0.0
896,0.0,34.3,23,10.16,128,128,128,128,128,128,453,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.58,4.56,102,1,ON,OFF,0.0
899,0.0,34.0,22,10.09,128,128,128,128,128,128,453,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.55,4.55,102,1,ON,OFF,0.0
893,0.0,34.0,24,10.22,128,128,128,128,128,128,457,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.65,4.70,102,1,ON,OFF,0.0
902,0.0,33.6,23,9.88,128,128,128,128,128,128,453,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.65,4.76,102,1,ON,OFF,0.0
893,0.0,34.0,23,10.18,128,128,128,128,128,128,457,453,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.64,4.65,102,1,ON,OFF,0.0
909,0.0,34.3,22,10.22,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.62,4.62,102,1,ON,OFF,0.0
910,0.0,33.6,22,10.09,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.59,4.52,102,1,ON,OFF,0.0
916,0.0,34.0,23,10.59,128,128,128,128,128,128,453,457,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.0,OFF,OFF,OFF,ON,OFF,16,4.61,4.61,102,1,ON,OFF,0.0
896,0.0,33.6,23,10.11,128,128,128,128,128,128,453,462,OFF,OFF,OFF,120,900,92.3,89.6,0,6448,0,13.1,OFF,OFF,OFF,ON,OFF,16,4.49,4.50,102,1,ON,OFF,0.0
